,forecast,lower,upper
2026-06-30,411.9725747668726,397.9069813542877,426.03816817945744
2026-07-01,412.1051531958546,392.2134002289514,431.9969061627578
2026-07-02,412.23773162483656,387.87540919563344,436.6000540540397
2026-07-03,412.37031005381857,384.23912322864885,440.5014968789883
2026-07-06,412.5028884828006,381.05126546838756,443.9545114972136
2026-07-07,412.63546691178254,378.18194012149723,447.08899370206785
2026-07-08,412.76804534076456,375.5539831285166,449.9821075530125
2026-07-09,412.9006237697466,373.1171178359402,452.68412970355297
2026-07-10,413.03320219872853,370.8364219609739,455.22998243648317
2026-07-13,413.16578062771055,368.6864688020819,457.6450924533392
2026-07-14,413.2983590566925,366.64806325345387,459.94865485993114
2026-07-15,413.4309374856745,364.7062926272683,462.15558234408076
2026-07-16,413.56351591465653,362.84929764575327,464.2777341835598
2026-07-17,413.6960943436385,361.0674628520814,466.3247258351956
2026-07-20,413.8286727726205,359.3528637311545,468.3044818140865
2026-07-21,413.9612512016025,357.698877551263,470.223624851942
2026-07-22,414.0938296305845,356.0999023035051,472.0877569576639
2026-07-23,414.2264080595665,354.5511491588569,473.9016669602761
2026-07-24,414.35898648854845,353.04848622215957,475.66948675493734
2026-07-27,414.49156491753047,351.5883188887044,477.39481094635653
2026-07-28,414.6241433465125,350.1674968388701,479.0807898541549
2026-07-29,414.75672177549444,348.7832407618377,480.7302027891512
2026-07-30,414.88930020447646,347.4330839223022,482.3455164866507
2026-07-31,415.02187863345847,346.1148250528879,483.92893221402903
2026-08-03,415.15445706244043,344.82648999951607,485.4824241253648
2026-08-04,415.28703549142244,343.56630021039007,487.0077707724548
2026-08-05,415.4196139204044,342.33264663279505,488.50658120801376
2026-08-06,415.5521923493864,341.1240679248906,489.98031677388224
2026-08-07,415.68477077836843,339.93923214145343,491.43030941528343
2026-08-10,415.8173492073504,338.77692123966233,492.85777717503845
2026-08-11,415.9499276363324,337.63601789168564,494.26383738097917
2026-08-12,416.0825060653144,336.5154941977016,495.6495179329272
2026-08-13,416.2150844942964,335.4144019749699,497.01576701362285
2026-08-14,416.3476629232784,334.331864362043,498.3634614845138
2026-08-17,416.48024135226035,333.26706852676784,499.69341417775286
2026-08-18,416.61281978124237,332.2192593057331,501.00638025675164
2026-08-19,416.7453982102244,331.1877336337436,502.30306278670514
2026-08-20,416.87797663920634,330.1718356465999,503.5841176318128
2026-08-21,417.01055506818835,329.17095236031014,504.85015777606657
2026-08-24,417.14313349717037,328.184509845913,506.10175714842774
2026-08-25,417.2757119261523,327.2119698321543,507.33945402015036
2026-08-26,417.40829035513434,326.25282667893805,508.56375403133063
2026-08-27,417.5408687841163,325.3066046732638,509.7751328949688
2026-08-28,417.6734472130983,324.3728556066211,510.9740388195755
2026-08-31,417.80602564208033,323.45115659884124,512.1608946853194
2026-09-01,417.9386040710623,322.54110813843863,513.3361000036859
2026-09-02,418.0711825000443,321.64233231368615,514.5000326864024
2026-09-03,418.2037609290263,320.75447121221384,515.6530506458388
2026-09-04,418.3363393580083,319.87718546991414,516.7954932461024
2026-09-07,418.4689177869903,319.0101529524743,517.9276826215063
2026-09-08,418.60149621597225,318.1530675550136,519.049924876931
2026-09-09,418.73407464495426,317.3056381071477,520.1625111827608
2026-09-10,418.8666530739363,316.4675873723782,521.2657187754943
2026-09-11,418.99923150291824,315.63865113206236,522.3598118737741
2026-09-14,419.13180993190025,314.81857734538556,523.445042518415
2026-09-15,419.26438836088226,314.0071253777681,524.5216513439965
2026-09-16,419.3969667898642,313.20406529101353,525.5898682887149
2026-09-17,419.52954521884624,312.4091771892658,526.6499132484266
2026-09-18,419.6621236478282,311.62225061550316,527.7019966801532
2026-09-21,419.7947020768102,310.8430839938783,528.7463201597421
2026-09-22,419.9272805057922,310.07148411371645,529.783076897868
2026-09-23,420.0598589347742,309.3072656514322,530.8124522181162
2026-09-24,420.1924373637562,308.5502507270125,531.8346240005
2026-09-25,420.3250157927382,307.8002684920592,532.8497630934172
2026-09-28,420.45759422172017,307.0571547466907,533.8580336967497
2026-09-29,420.5901726507022,306.32075158286807,534.8595937185363
2026-09-30,420.72275107968414,305.59090705195166,535.8545951074166
2026-10-01,420.85532950866616,304.86747485450735,536.843184162825
2026-10-02,420.9879079376482,304.1503140505674,537.8255018247289
